species,eiv_light,eiv_temperature,eiv_moisture,eiv_reaction,eiv_nutrients,eiv_salinity
Amaranthus albus,9,8,3,7,7,1
Amaranthus blitoides,9,8,3,7,7,1
Amaranthus blitum,8,8,4,7,8,1
Amaranthus blitum ssp. blitum,8,8,4,7,8,1
Amaranthus crispus,9,8,4,6,7,1
Amaranthus deflexus,8,9,4,7,8,1
Amaranthus graecizans,9,9,3,7,8,1
Amaranthus graecizans ssp. graecizans,9,9,3,7,8,1
Amaranthus graecizans ssp. thellungianus,9,9,3,7,8,1
Amaranthus hybridus,8,8,4,7,7,1
Amaranthus hybridus agg.,8,8,4,7,7,1
Amaranthus hypochondriacus,8,8,4,7,7,1
Amaranthus powellii,8,7,4,7,7,1
Amaranthus retroflexus,8,7,4,7,8,1
Amaranthus viridis,8,8,4,7,8,1
Ambrosia artemisiifolia,9,7,4,7,6,1
Ambrosia psilostachya,9,8,3,8,4,1
Ambrosia trifida,8,8,5,7,7,1
Amelanchier lamarckii,6,6,5,3,3,0
Ammi majus,7,8,4,8,7,1
Amorpha fruticosa,7,7,5,7,7,1
Anacamptis pyramidalis,7,7,4,9,3,0
Anagallis arvensis,7,6,5,7,6,1
Anagallis arvensis agg.,7,6,5,7,6,1
Anagallis foemina,7,7,4,8,6,1
Anaphalis margaritacea,6,4,5,5,5,0
Andromeda polifolia,9,4,9,1,1,0
Androsace elongata,9,7,2,7,3,0
Androsace maxima,9,8,4,7,3,1
Androsace septentrionalis,9,7,2,5,2,0
Anemonastrum narcissiflorum,8,2,5,6,4,0
Anemone nemorosa,4,5,5,6,5,0
Anemone ranunculoides,4,6,6,7,7,0
Anemone sylvestris,6,7,3,8,3,0
Anethum graveolens,8,7,5,7,7,0
Angelica archangelica,7,5,9,6,7,1
Angelica archangelica ssp. archangelica,7,5,9,6,7,1
Angelica palustris,7,6,8,6,7,0
Angelica sylvestris,6,5,8,6,6,0
Angelica sylvestris ssp. bernardiae,6,5,8,6,6,0
Angelica sylvestris ssp. sylvestris,6,5,8,6,6,0
Anchusa officinalis,8,7,3,7,5,0
Antennaria dioica,8,4,4,3,2,0
Anthemis arvensis,7,6,4,5,6,0
Anthemis cotula,7,6,5,7,7,2
Anthemis ruthenica,8,7,3,4,4,0
Anthericum liliago,7,7,3,6,3,0
Anthericum ramosum,7,6,3,7,3,0
Anthoxanthum alpinum,7,3,6,2,3,0
Anthoxanthum odoratum,7,5,5,4,4,0
Anthoxanthum odoratum agg.,7,4,5,3,4,0
Anthriscus caucalis,7,7,5,6,8,1
Anthriscus cerefolium,6,7,5,7,8,0
Anthriscus cerefolium var. cerefolium,6,7,5,7,8,0
Anthriscus cerefolium var. trichocarpus,6,7,5,7,8,0
Anthriscus nitidus,4,4,6,7,8,0
Anthriscus sylvestris,7,5,5,7,8,0
Anthyllis vulneraria,8,5,4,7,3,0
Anthyllis vulneraria ssp. carpatica,8,5,4,7,3,0
Anthyllis vulneraria ssp. polyphylla,8,5,4,7,3,0
Anthyllis vulneraria ssp. pseudovulneraria,8,5,4,7,3,0
Antirrhinum majus,7,7,3,7,6,1
Apera interrupta,9,7,2,4,3,0
Apera spica-venti,7,6,5,4,6,0
Aphanes arvensis,7,6,5,4,5,0
Aphanes australis,7,7,5,4,4,0
Aposeris foetida,4,4,5,6,5,0
Aquilegia atrata,6,4,4,8,4,0
Aquilegia vulgaris,6,5,5,7,5,0
Arabidopsis arenosa,7,5,4,6,3,0
Arabidopsis arenosa ssp. arenosa,7,5,4,6,3,0
Arabidopsis arenosa ssp. borbasii,7,5,4,6,3,0
Arabidopsis halleri,7,4,6,4,5,0
Arabidopsis halleri ssp. halleri,7,4,6,4,5,0
Arabidopsis petraea,7,4,3,8,2,0
Arabidopsis thaliana,7,6,4,4,4,0
Arabis alpina,7,3,5,9,3,0
Arabis auriculata,7,7,3,8,3,0
Arabis hirsuta,7,6,4,7,4,0
Arabis hirsuta agg.,7,6,4,7,5,0
Arabis nemorensis,7,6,7,7,6,0
Arabis sagittata,7,7,3,8,4,0
Arabis sudetica,7,3,6,7,6,0
Arctium lappa,8,6,5,7,8,1
Arctium minus,8,5,5,7,8,1
Arctium nemorosum,5,5,6,7,7,0
Arctium tomentosum,7,5,5,8,8,1
Arctostaphylos uva-ursi,6,4,3,3,2,0
Aremonia agrimonoides,4,6,5,8,5,0
Aremonia agrimonoides ssp. agrimonoides,4,6,5,8,5,0
Arenaria grandiflora,9,7,2,9,2,0
Arenaria leptoclados,9,7,3,7,3,0
Arenaria serpyllifolia,8,5,4,6,4,0
Arenaria serpyllifolia agg.,8,5,4,6,4,0
Aristolochia clematitis,6,7,5,7,7,0
Armeria elongata,7,6,3,5,3,0
Armeria elongata ssp. elongata,7,6,3,5,3,0
Armeria elongata ssp. serpentini,8,6,3,6,2,0
Armoracia rusticana,8,6,6,7,8,1
Arnica montana,8,4,5,3,3,0
Arnica montana ssp. montana,8,4,5,3,3,0
Arnoseris minima,8,6,4,3,3,0
Arrhenatherum elatius,7,5,5,7,7,1
Arrhenatherum elatius ssp. elatius,7,5,5,7,7,1
Artemisia absinthium,8,6,4,7,7,1
Artemisia annua,9,7,4,7,6,1
Artemisia austriaca,8,8,2,7,4,1
Artemisia austriaca agg.,8,8,2,7,4,1
Artemisia campestris,8,7,2,6,3,0
Artemisia campestris var. campestris,8,7,2,6,3,0
Artemisia campestris var. lednicensis,8,7,2,6,3,0
Artemisia dracunculus,8,7,3,6,6,0
Artemisia pancicii,8,8,3,8,3,0
Artemisia pontica,9,7,3,8,4,2
Artemisia scoparia,9,6,3,8,5,1
Artemisia siversiana,8,6,5,6,6,1
Artemisia tournefortiana,8,7,4,6,6,1
Artemisia verlotiorum,9,6,5,7,8,1
Artemisia vulgaris,7,6,5,6,8,1
Artemisia vulgaris agg.,7,6,5,6,8,1
Arum cylindraceum,3,5,6,7,8,0
Arum maculatum,3,6,6,7,8,0
Arum maculatum agg.,3,6,6,7,8,0
Aruncus dioicus,4,4,6,7,8,0
Asarum europaeum,3,5,5,7,6,0
Asarum europaeum ssp. europaeum,3,5,5,7,6,0
Asarum europaeum var. europaeum,3,5,5,7,6,0
Asarum europaeum var. romanicum,3,5,5,7,6,0
Asclepias syriaca,8,7,5,7,6,1
Asparagus officinalis,7,7,3,7,4,0
Asparagus officinalis ssp. officinalis,7,7,3,7,4,0
Asperugo procumbens,7,7,4,8,8,1
Asperula arvensis,7,7,4,9,4,0
Asperula cynanchica,8,7,3,8,3,0
Asperula tinctoria,6,6,4,8,3,0
Asperula tinctoria ssp. tinctoria,6,6,4,8,3,0
Asplenium adiantum-nigrum,6,7,4,2,3,0
Asplenium adulterinum,5,5,5,6,2,0
Asplenium ceterach,6,7,3,7,3,0
Asplenium ceterach ssp. ceterach,6,7,3,7,3,0
Asplenium cuneifolium,6,5,4,6,2,0
Asplenium ruta-muraria,8,5,3,8,3,0
Asplenium ruta-muraria ssp. ruta-muraria,8,5,3,8,3,0
Asplenium scolopendrium,3,4,7,8,7,0
Asplenium scolopendrium ssp. scolopendrium,3,4,7,8,7,0
Asplenium septentrionale,8,6,2,2,2,0
Asplenium septentrionale ssp. septentrionale,8,6,2,2,2,0
Asplenium trichomanes,5,5,4,6,3,0
Asplenium trichomanes ssp. hastatum,4,5,4,9,3,0
Asplenium trichomanes ssp. pachyrachis,5,5,4,8,3,0
Asplenium trichomanes ssp. quadrivalens,5,5,4,6,3,0
Asplenium trichomanes ssp. trichomanes,4,5,4,4,3,0
Asplenium viride,4,4,5,8,3,0
Aster alpinus,8,3,4,7,3,0
Aster amellus,8,6,3,8,3,0
Aster amellus ssp. amellus,8,6,3,8,3,0
Aster amellus ssp. bessarabicus,8,6,3,8,3,0
Astragalus arenarius,8,7,2,7,3,0
Astragalus asper,8,8,2,7,4,1
Astragalus austriacus,8,7,3,9,3,0
Astragalus cicer,7,6,4,8,4,0
Astragalus danicus,8,7,4,8,4,0
Astragalus exscapus,9,7,2,9,3,0
Astragalus glycyphyllos,6,6,4,7,4,0
Astragalus onobrychis,8,7,2,9,3,0
Astrantia major,5,4,6,7,6,0
Astrantia major ssp. major,5,4,6,7,6,0
Athyrium distentifolium,5,3,6,5,6,0
Athyrium filix-femina,3,5,6,5,6,0
Atriplex hortensis,7,6,5,7,8,1
Atriplex hortensis var. hortensis,7,6,5,7,8,1
Atriplex hortensis var. rubra,7,6,5,7,8,1
Atriplex oblongifolia,8,7,4,7,6,1
Atriplex patula,7,6,5,7,7,1
Atriplex prostrata,8,7,7,7,8,3
Atriplex prostrata ssp. latifolia,8,7,7,7,8,3
Atriplex rosea,9,6,5,7,7,2
Atriplex sagittata,9,7,5,7,7,1
Atriplex tatarica,9,7,4,7,6,2
Atropa bella-donna,6,5,5,6,8,0
Aurinia saxatilis,9,7,1,6,2,0
Aurinia saxatilis ssp. saxatilis,9,7,1,6,2,0
Avena fatua,8,6,5,7,7,0
Avena sativa,8,5,5,6,7,0
Avenella flexuosa,6,5,5,2,3,0
Avenula pubescens,7,6,4,6,4,0
Azolla filiculoides,7,8,11,6,8,0
Ballota nigra,7,6,5,7,8,1
Ballota nigra ssp. meridionalis,7,6,5,7,8,1
Ballota nigra ssp. nigra,7,6,5,7,8,1
Barbarea stricta,8,6,7,7,7,0
Barbarea vulgaris,8,6,6,6,6,0
Barbarea vulgaris ssp. arcuata,8,6,6,6,6,0
Barbarea vulgaris ssp. vulgaris,8,6,6,6,6,0
Bartsia alpina,8,3,8,7,3,0
Bassia laniflora,9,8,2,5,2,0
Bassia prostrata,9,8,2,8,3,1
Bassia scoparia,8,7,4,6,6,1
Bassia scoparia ssp. densiflora,8,7,4,6,6,1
Bassia scoparia ssp. scoparia,8,7,4,6,6,1
Batrachium aquatile,8,6,12,6,6,1
Batrachium baudotii,8,7,11,8,7,4
Batrachium circinatum,7,6,12,7,6,2
Batrachium fluitans,8,6,12,5,7,0
Batrachium peltatum,8,6,12,7,6,1
Batrachium penicillatum,8,6,11,7,6,1
Batrachium rionii,8,7,11,7,7,3
Batrachium trichophyllum,7,6,12,7,6,1
Beckmannia eruciformis,7,7,9,9,3,4
Beckmannia eruciformis ssp. eruciformis,7,7,9,9,3,4
Beckmannia syzigachne,7,7,9,7,3,0
Bellidiastrum michelii,8,3,5,8,4,0
Bellis perennis,8,5,5,5,6,1
Berberis vulgaris,7,6,4,8,4,0
Bergenia crassifolia,4,4,5,5,5,0
Berteroa incana,9,6,3,6,4,0
Berteroa incana ssp. incana,9,6,3,6,4,0
Berteroa incana ssp. stricta,9,6,3,6,4,0
Berula erecta,7,6,10,8,6,2
Betonica officinalis,6,6,4,7,4,1
Betula carpatica,8,4,5,2,2,0
Betula humilis,7,5,9,4,3,0
Betula nana,8,3,8,1,1,0
Betula oycoviensis,8,5,5,3,3,0
Betula pendula,7,5,5,4,3,1
Betula pendula var. obscura,7,5,5,4,3,0
Betula pendula var. pendula,7,5,5,4,3,1
Betula petraea,7,5,5,4,3,0
Betula pubescens,7,5,8,3,3,0
Bidens cernuus,8,6,9,7,8,1
Bidens connatus,8,7,9,7,8,1
Bidens frondosus,7,6,9,7,8,1
Bidens pilosus,8,8,8,6,8,1
Bidens radiatus,8,6,9,5,8,1
Bidens tripartitus,8,6,9,6,8,1
Bifora radians,8,7,4,8,6,0
Biscutella laevigata,8,5,3,7,2,0
Biscutella laevigata ssp. varia,8,5,3,7,2,0
Bistorta officinalis,7,4,7,5,5,0
Blechnum spicant,3,3,6,2,3,0
Blysmus compressus,8,5,8,8,3,2
Bolboschoenus laticarpus,8,6,10,8,6,1
Bolboschoenus maritimus,8,6,10,8,7,5
Bolboschoenus maritimus agg.,8,6,10,8,6,2
Bolboschoenus planiculmis,8,7,9,8,7,3
Bolboschoenus yagara,8,6,10,7,6,1
Borago officinalis,8,7,4,7,6,0
Bothriochloa ischaemum,9,7,3,8,3,0
Botrychium lunaria,8,5,4,5,2,0
Botrychium matricariifolium,7,4,4,4,2,0
Botrychium multifidum,6,4,6,4,2,0
Botrychium simplex,6,4,5,1,2,0
Brachypodium pinnatum,6,6,4,7,4,0
Brachypodium pinnatum agg.,6,6,4,7,4,0
Brachypodium rupestre,7,6,4,7,3,0
Brachypodium sylvaticum,4,5,5,6,7,0
Brassica elongata,9,7,4,8,5,1
Brassica elongata ssp. elongata,9,7,4,8,5,1
Brassica elongata ssp. integrifolia,9,7,4,8,5,1
Brassica napus,7,6,6,7,8,1
Brassica nigra,8,7,6,8,7,1
Brassica rapa,8,6,5,7,7,1
Briza media,8,5,5,5,3,1
Bromus arvensis,7,6,4,8,6,0
Bromus benekenii,5,5,5,7,6,0
Bromus commutatus,7,7,4,7,5,1
Bromus erectus,8,5,3,8,4,1
Bromus hordeaceus,8,6,5,6,5,1
Bromus hordeaceus ssp. hordeaceus,8,6,5,6,5,1
Bromus inermis,8,6,4,8,6,1
Bromus japonicus,8,7,4,8,5,0
Bromus racemosus,7,6,8,6,5,1
Bromus racemosus agg.,7,6,8,6,5,1
Bromus ramosus,5,6,5,7,6,0
Bromus ramosus agg.,5,5,5,7,6,0
Bromus secalinus,7,6,5,5,5,0
Bromus squarrosus,9,8,3,8,3,0
Bromus sterilis,7,6,4,6,7,0
Bromus tectorum,8,6,3,8,5,0
Bryonia alba,7,6,5,7,7,0
Bryonia dioica,7,6,5,8,7,0
Buddleja davidii,8,7,4,7,4,0
Buglossoides arvensis,7,6,4,7,5,0
Buglossoides arvensis agg.,7,6,4,7,5,0
Buglossoides arvensis ssp. arvensis,7,6,4,7,5,0
Buglossoides incrassata,7,6,4,7,5,0
Buglossoides incrassata ssp. incrassata,7,6,4,7,5,0
Buglossoides incrassata ssp. splitgerberi,7,6,4,7,5,0
Buglossoides purpurocaerulea,5,7,4,8,4,0
Bunias orientalis,7,6,5,7,7,1
Bunium bulbocastanum,7,7,4,9,4,0
Buphthalmum salicifolium,8,5,4,8,3,0
Bupleurum affine,8,7,3,8,4,0
Bupleurum falcatum,6,6,3,8,3,0
Bupleurum falcatum ssp. falcatum,6,6,3,8,3,0
Bupleurum longifolium,5,5,5,8,5,0
Bupleurum longifolium ssp. longifolium,5,5,5,8,5,0
Bupleurum longifolium ssp. vapincense,7,3,5,7,5,0
Bupleurum rotundifolium,8,7,3,9,4,0
Bupleurum tenuissimum,9,6,7,8,4,6
Butomus umbellatus,7,6,10,7,7,1
Buxus sempervirens,5,8,4,8,4,0
Cakile maritima,9,6,6,7,8,4
Cakile maritima ssp. baltica,9,6,6,7,8,4
Cakile maritima ssp. euxina,9,6,6,7,8,4
Calamagrostis arundinacea,5,5,5,4,5,0
Calamagrostis canescens,6,5,9,5,5,0
Calamagrostis epigejos,7,5,5,6,6,1
Calamagrostis phragmitoides,7,4,8,5,3,0
Calamagrostis pseudophragmites,8,5,7,8,4,0
Calamagrostis stricta,8,5,9,6,2,0
Calamagrostis varia,6,4,5,8,3,0
Calamagrostis villosa,5,4,6,2,4,0
Calendula arvensis,8,8,4,8,6,0
Calendula officinalis,8,6,5,7,7,0
Calla palustris,6,5,10,6,5,0
Callitriche cophocarpa,8,5,10,5,6,0
Callitriche hamulata,8,4,10,3,6,0
Callitriche hermaphroditica,7,6,12,4,3,0
Callitriche palustris,6,5,11,5,6,0
Callitriche palustris agg.,7,5,10,5,6,0
Callitriche platycarpa,7,6,11,5,6,0
Callitriche stagnalis,6,5,10,4,4,0
Calluna vulgaris,8,5,5,1,1,0
Caltha palustris,6,5,9,5,6,0
Caltha palustris ssp. cornuta,5,6,9,5,6,0
Caltha palustris ssp. laeta,6,4,9,5,6,0
Caltha palustris ssp. palustris,6,5,9,5,6,0
Caltha palustris ssp. procumbens,6,4,9,4,6,0
Calystegia pulchra,7,6,5,7,7,0
Calystegia sepium,7,6,7,7,8,1
Calystegia sepium ssp. sepium,7,6,7,7,8,1
Camelina alyssum,7,6,5,6,4,0
Camelina alyssum ssp. alyssum,7,6,5,6,4,0
Camelina alyssum ssp. integerrima,7,6,5,6,4,0
Camelina microcarpa,7,6,4,8,5,0
Camelina microcarpa ssp. microcarpa,7,6,4,8,5,0
Camelina microcarpa ssp. pilosa,7,6,4,8,5,0
Camelina sativa,7,7,4,7,5,0
Camelina sativa var. sativa,7,7,4,7,5,0
Camelina sativa var. zingeri,7,7,4,7,5,0
Campanula barbata,7,2,5,2,2,0
Campanula bohemica,7,3,5,3,3,0
Campanula bononiensis,7,6,3,8,3,0
Campanula cervicaria,6,6,5,7,4,0
Campanula gelida,9,2,4,2,1,0
Campanula gentilis,7,6,3,6,3,0
Campanula glomerata,7,6,4,7,4,0
Campanula glomerata ssp. farinosa,7,6,4,7,4,0
Campanula glomerata ssp. glomerata,7,6,4,7,4,0
Campanula latifolia,5,5,6,7,7,0
Campanula moravica,7,6,3,6,3,0
Campanula patula,7,5,5,6,5,0
Campanula persicifolia,5,6,4,7,5,0
Campanula rapunculoides,6,6,5,7,6,0
Campanula rapunculus,8,7,3,8,5,0
Campanula rotundifolia,7,5,4,4,3,0
Campanula rotundifolia agg.,7,5,4,5,3,0
Campanula rotundifolia ssp. rotundifolia,7,5,4,4,3,0
Campanula rotundifolia ssp. sudetica,7,4,5,4,3,0
Campanula sibirica,8,8,2,8,3,0
Campanula sibirica ssp. sibirica,8,8,2,8,3,0
Campanula trachelium,4,5,6,7,7,0
Cannabis sativa,7,7,6,6,7,1
Cannabis sativa var. sativa,7,7,6,6,7,1
Cannabis sativa var. spontanea,7,7,6,6,7,1
Capsella bursa-pastoris,7,5,5,6,7,0
Caragana arborescens,5,6,5,7,7,1
Cardamine amara,5,5,9,6,6,0
Cardamine amara ssp. amara,5,5,9,6,6,0
Cardamine amara ssp. austriaca,5,5,9,6,6,0
Cardamine amara ssp. opicii,7,3,9,4,5,0
Cardamine dentata,6,6,9,6,7,0
Cardamine flexuosa,5,5,7,5,6,0
Cardamine hirsuta,6,6,5,5,6,0
Cardamine impatiens,4,5,6,7,7,0
Cardamine matthioli,7,6,8,6,5,1
Cardamine parviflora,7,6,7,7,6,0
Cardamine pratensis,7,5,8,5,5,1
Cardamine pratensis agg.,7,5,8,6,6,1
Cardamine resedifolia,8,2,5,3,3,0
Cardamine trifolia,3,4,6,7,7,0
Carduus acanthoides,9,6,4,8,7,1
Carduus crispus,6,5,6,6,9,1
Carduus crispus ssp. crispus,6,5,6,6,9,1
Carduus nutans,8,6,4,8,6,0
Carduus nutans ssp. nutans,8,6,4,8,6,0
Carduus personata,7,4,7,7,8,0
Carduus personata ssp. personata,7,4,7,7,8,0
Carex acuta,7,5,9,6,6,1
Carex acuta ssp. acuta,7,5,9,6,6,1
Carex acuta ssp. intermedia,7,5,9,6,6,1
Carex acutiformis,6,5,9,7,5,1
Carex alba,5,5,4,8,4,0
Carex appropinquata,8,5,9,7,4,0
Carex aterrima,8,2,6,4,2,0
Carex atrata,8,2,6,4,2,0
Carex atrata agg.,8,2,6,4,2,0
Carex bigelowii,8,2,6,2,2,0
Carex bigelowii ssp. dacica,8,2,6,2,2,0
Carex bohemica,8,5,8,6,6,1
Carex brizoides,5,5,7,4,4,0
Carex brunnescens,8,2,7,3,2,0
Carex buekii,8,5,8,7,6,0
Carex buxbaumii,7,5,8,7,3,1
Carex buxbaumii agg.,7,5,8,7,4,1
Carex canescens,7,4,9,3,2,0
Carex capillaris,8,1,8,7,2,0
Carex caryophyllea,8,6,4,6,3,0
Carex cespitosa,6,5,9,7,5,0
Carex curvata,6,6,6,6,4,1
Carex davalliana,9,5,9,8,2,0
Carex demissa,8,5,9,4,2,0
Carex derelicta,7,3,8,7,2,0
Carex diandra,8,6,9,5,3,0
Carex digitata,4,5,5,6,6,0
Carex digitata var. digitata,4,5,5,6,6,0
Carex digitata var. pallens,4,5,5,6,6,0
Carex dioica,9,4,9,5,2,0
Carex distans,8,6,7,8,5,5
Carex disticha,8,6,9,7,6,2
Carex divulsa,5,6,7,6,6,0
Carex echinata,7,5,8,3,3,0
Carex elata,7,5,10,6,5,1
Carex elata ssp. elata,7,5,10,6,5,1
Carex elongata,4,5,9,6,6,0
Carex ericetorum,6,5,4,4,2,0
Carex flacca,7,5,6,8,3,1
Carex flacca ssp. flacca,7,5,6,8,3,1
Carex flava,8,5,9,7,3,0
Carex flava agg.,8,5,9,7,2,1
Carex fritschii,6,7,4,5,4,0
Carex hartmanii,7,5,8,5,4,0
Carex hirta,7,6,6,6,5,1
Carex hordeistichos,8,7,7,7,5,3
Carex hostiana,8,5,9,7,2,0
Carex humilis,7,6,2,8,3,0
Carex chordorrhiza,9,4,9,3,2,0
Carex lasiocarpa,9,4,9,4,2,0
Carex leersii,5,6,5,6,6,0
Carex lepidocarpa,9,5,9,8,2,0
Carex leporina,7,4,7,3,4,0
Carex leporina var. argyroglochin,7,4,7,3,4,0
Carex leporina var. leporina,7,4,7,3,4,0
Carex limosa,9,4,10,2,2,0
Carex macroura,5,6,5,7,5,0
Carex magellanica,8,4,9,1,2,0
Carex magellanica ssp. irrigua,8,4,9,1,2,0
Carex melanostachya,7,6,8,7,6,2
Carex michelii,6,7,3,7,4,0
Carex montana,5,5,4,7,4,0
Carex muricata,5,5,5,6,5,0
Carex muricata agg.,5,5,5,6,5,0
Carex nigra,8,5,8,3,2,1
Carex nigra ssp. nigra,8,5,8,3,2,1
Carex obtusata,7,6,4,5,3,0
Carex oederi,8,5,9,7,2,3
Carex ornithopoda,6,5,4,9,3,0
Carex otomana,5,6,5,6,6,0
Carex otrubae,8,6,8,8,6,3
Carex pairae,7,5,5,5,5,0
Carex pallescens,7,5,6,4,4,0
Carex panicea,8,5,8,6,4,1
Carex paniculata,7,5,9,7,5,1
Carex paniculata ssp. paniculata,7,5,9,7,5,1
Carex pauciflora,9,3,9,1,1,0
Carex pediformis agg.,5,6,5,6,5,0
Carex pendula,5,6,8,7,6,0
Carex pilosa,3,5,5,7,6,0
Carex pilulifera,6,5,5,3,3,0
Carex praecox,8,6,4,6,4,1
Carex praecox agg.,8,6,4,6,4,1
Carex pseudobrizoides,6,6,4,2,2,1
Carex pseudocyperus,7,6,9,6,6,0
